Academy Name,Date,File Count
Albany Academy,1827,1
Auburn Academy,1827,14
Canajoharie,1827,1
Cayuga,1827,12
Cherry Valley,1827,13
Clinton Academy,1827,29
Cortland Academy,1827,12
Delaware Academy,1827,19
Erasmus Hall,1827,22
Fairfield Academy,1827,23
Franklin(Prattsburgh)Academy,1827,13
Fredonia Academy,1827,16
Greenville Academy,1827,20
Hamilton Academy,1827,30
Hartwick Academy,1827,34
Hudson Academy,1827,29
Ithaca Academy,1827,22
Johnstown Academy,1827,14
Lansingburgh Academy,1827,31
Lowville Academy,1827,36
Montgomery Academy,1827,14
Mount Pleasant Academy,1827,7
Newburgh Academy,1827,10
Onondaga Academy,1827,19
Oxford Academy,1827,19
Pompey Academy,1827,43
Schenectady Academy,1827,15
St Lawrence Academy,1827,25
Union Hall,1827,48
Utica Academy,1827,46
Albany Academy,1828,35
Auburn Academy,1828,34
Cambridge Washington Academy,1828,28
Canandaigua Academy,1828,26
Cayuga Academy,1828,18
Cherry Valley Academy,1828,13
Clinton Academy,1828,28
Cortland Academy,1828,15
Delaware Academy,1828,19
Dutchess Academy,1828,29
Erasmus Hall,1828,46
Fairfield Academy,1828,21
Franklin(Prattsburgh)Academy,1828,34
Greenville Academy,1828,18
Hamilton Academy,1828,26
Hartwick Academy,1828,22
Hudson Academy,1828,21
Ithaca Academy,1828,14
Johnstown Academy,1828,25
Kingston Academy,1828,13
Lansingburgh Academy,1828,25
Lowville Academy,1828,33
Middlebury Academy,1828,12
Montgomery Academy,1828,13
Mount Pleasant Academy,1828,9
Newburgh Academy,1828,13
Onondaga Academy,1828,25
Oxford Academy,1828,14
Pompey Academy,1828,24
Schenectady Academy,1828,22
St Lawrence Academy,1828,22
Union Hall,1828,25
Utica Academy,1828,26
Washington Academy,1828,14
Albany Academy,1829,19
Auburn Academy,1829,24
Cambridge Washington Academy,1829,21
Canandaigua Academy,1829,25
Cayuga Academy,1829,13
Cazenovia Academy,1829,6
Cherry Valley Academy,1829,17
Clinton Academy,1829,18
Cortland Academy,1829,15
Delaware Academy,1829,24
Dutchess Academy,1829,18
Erasmus Hall,1829,52
Fairfield Academy,1829,16
Franklin(Prattsburgh)Academy,1829,21
